w,p,LL_diff,LL_diff_log
0.68,0.26,205.3766686,2.312551105
0.69,0.26,6894.047329,3.838474261
0.7,0.26,12238.10076,4.087714024
0.71,0.26,14728.69515,4.168164274
0.72,0.26,165749.26,5.219451598
0.73,0.26,2519.050763,3.401236919
0.74,0.26,8008.278013,3.903539142
0.75,0.26,3208.838356,3.50634784
0.76,0.26,17414.57208,4.240912807
0.77,0.26,36124.56645,4.557802644
0.78,0.26,5858.057434,3.767753625
0.79,0.26,7685.859046,3.885692416
0.8,0.26,25675.96895,4.409526842
0.81,0.26,12921.71022,4.111319997
0.82,0.26,24945.83118,4.396997979
0.83,0.26,31898.97993,4.503776795
0.84,0.26,15100.66624,4.178996109
0.85,0.26,27907.95904,4.445728077
0.86,0.26,27532.93892,4.439852571
0.87,0.26,43004.62852,4.633515201
0.88,0.26,88895.26471,4.948878627
0.89,0.26,42942.65303,4.632888872
0.9,0.26,24216.36414,4.384108938
0.91,0.26,149130.7241,5.173567127
0.92,0.26,29449.39745,4.469076413
